Buell;1163690648;21;14;28
Londonderry;768226324;18;6;20
Service;441803119;2;13;7
Independence;443817736;20;12;17
Fallview;1681887009;18;1;5
Scofield;443817589;3;0;15
Graedel;1163754341;5;2;17
Mariners Cove;1309236924;9;14;13
Pierstorff;1257471277;18;20;6
Vidon;443800961;8;24;14
Veith;441803316;8;19;7
West;1650252224;21;7;21
Pennsylvania;1635406838;6;15;27
Algoma;1257471283;13;24;7
Myrtle;441803133;21;1;29
Carey;443800956;21;25;21
4th;441805501;19;3;29
Vidon;1595004612;21;3;30
Shelley;1650252154;9;18;10
Laurel;441813276;14;19;22
Manitowish;441803328;20;1;8
Dottie;768565998;12;10;27
Drewry;1309254295;11;12;25
Briar Crest;441803068;16;1;21
Green Ridge;1645706304;1;24;17
Swallow;1681887010;15;3;22
Rutledge;441802977;4;16;25
Merchant;441805503;23;6;19
Hauk;772873247;7;18;24
Lyons;443817971;13;25;18
Longview;1252555690;12;21;20
Merrick;1681887002;3;20;14
Milwaukee;441802794;16;24;30
Susan;441803013;21;22;23
Quincy;1564682239;16;4;8
Sloan;443817621;8;8;30
Bluestem;1635405532;0;2;13
Steensland;441803367;11;13;25
Sutherland;441803074;6;14;14
Roxbury;1163690608;4;23;6
Onsgard;441803372;20;6;12
Fairfield;1163690609;19;17;23
Fuller;441813275;7;11;10
Mcguire;768226321;0;16;15
Golf;1309232712;19;1;14
Melby;1650252154;18;24;8
John Wall;1309237418;21;24;13
Mallard;893326746;7;7;7
Commercial;1309239651;24;15;16
Becker;441803441;9;7;21
Veith;441803339;1;12;5
Warner;1650252201;0;4;26
Graedel;1163690657;7;9;28
Butterfield;768203701;4;24;13
Pawling;1309230285;25;9;18
Anderson;1309228140;6;8;22
Corscot;441803431;10;21;18
Florence;443813128;20;8;10
Huxley;443817736;14;25;16
Ohio;441813273;21;18;11
Merchant;1309249261;12;13;15
Buena Vista;1595004612;1;17;13
Crescent Oaks;1259665597;23;22;26
Anthes;443813084;13;24;25
Autumn Leaf;1595004606;11;23;20
Gulseth;1635359411;0;12;11
Morrow;443817684;3;7;7
Merchant;1309233104;4;9;8
Sachtjen;441803330;12;5;15
Dunning;768203725;21;10;20
4th;926017891;25;5;14
Clemons;1824641449;14;0;12
Raven;1564682239;4;10;6
Di Loreto;1257484862;17;22;20
Cherokee;1257471296;3;3;5
Katie;441803072;0;24;8
Columbus;768226320;4;22;10
Cardinal;772873215;19;23;15
Thompson;913123040;25;6;7
New Castle;441803474;24;22;27
Del Mar;1309256150;12;4;16
Moulton;1652362093;12;19;30
Stoughton;1163754346;11;13;6
Alpine;441803329;23;2;27
